name,image,team,battingStyle,bowlingStyle,playingRole,description
Nuwan Thushara,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/343400/343442.gif",Mumbai Indians,Right hand Bat,Right arm Medium fast,Bowler,
Naveen-ul-Haq,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383238.png",Lucknow Super Giants,Right hand Bat,Right arm Medium fast,Bowler,
Donovan Ferreira,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356889.1.png",Rajasthan Royals,Right hand Bat,Right arm Offbreak,Allrounder,
Jonny Bairstow,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383157.png",Punjab Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"Jonny Bairstow player profileJonny Bairstow, the son of the former England wicketkeeper David Bairstow, is a combative wicketkeeper-batter who has become a cricketer to be reckoned with in England's middle order. The journey was far from easy for Bairstow, especially with Jos Buttler in contention for the gloves, but prolific run-making for Yorkshire eventually made a case that England's selectors could not ignore. Galvanised by his selection, runs flowed.Bairstow's wicketkeeping has rarely met with universal approval and, much to his chagrin, the debate about whether he might be better playing as a specialist batter has never been silenced. But from the moment that he delivered an emotional maiden Test century in Cape Town, where his father had strong off-season links, he began to make a significant mark with England. Nothing could compare with his impact on the one-day team, where his peerless opening partnership with Jason Roy helped deliver England a first World Cup success in 2019.He has had to fight against a tendency to play across the line and, to that end, he stands tall, bat held aloft, adding to his pugnacious image. Driven and independently minded, he is very much his own man. Intensive work with Bruce French, England's wicketkeeping coach, has also made his keeping more secure.Bairstow was a talented all-round sportsman at an early age, even having trials with Leeds United as a right back. But it was cricket which soon dominated. An early starter with Yorkshire's Under-15s, he was named Young Wisden Schools Cricketer of the Year in 2007, having already played for Yorkshire's 2nd XI and their Academy side and represented England Under-17. He soon followed in his father's footsteps by signing a full-time contract with Yorkshire. Jonny was eight-years-old when his father took his own life. Merely to play the game, and for the same county, was courageous enough.He made an impressive first-class debut against Somerset in June 2009, cracking 82 in his second innings, and soon secured his place in the first XI. Further honours followed when he was picked up by England's Performance Programme and included in the England Lions successful tour of the Caribbean in January 2011.By now Yorkshire's first-choice keeper, he registered his maiden first-class hundred against Nottinghamshire at Trent Bridge in May of that year. Having previously passed fifty 17 times in 34 first-class matches without reaching three figures, just to emphasise his breakthrough, he made it a double. During his brilliant attacking innings, he was joined by England's recently retired opening bowler Ryan Sidebottom in a record ninth-wicket partnership for Yorkshire against Nottinghamshire (which had stood since 1899) of 151. Bairstow and Sidebottom were sons of two of Yorkshire's best-loved former players - the passing of talent between the generations could not have been more satisfactorily captured.Many suspected that, long term, Bairstow would become a specialist batter and his debut innings in one-day internationals backed up that theory as he hit an unbeaten 41 off 21 balls against India at Cardiff. A tough India tour showed the realities of international cricket but he bounced back with a match-winning 60 off 46 in a T20I against Pakistan in the UAE and, after a strong start to the 2012 season, he was handed a call-up to the Test squad to face West Indies.It was not a happy series for Bairstow, whose problems against some hostile short bowling from Kemar Roach gained much media attention. He was left out of the opening Test of the South Africa series but, after Kevin Pietersen was dropped in extraordinary circumstances, another opportunity arose for Bairstow to which he responded magnificently. His brilliant 95 at Lord's led an England fightback from 54 for 4, Bairstow emerging from a short-ball peppering to play some fluent attacking shots in an innings former England captain Michael Vaughan said would have been the finest maiden Test century he had witnessed had his fellow Yorkshireman not been bowled by Morne Morkel.He played all five of England's games at the World T20 that winter, averaging just 9.50, and his participation in the India Test series was also limited before he was granted leave to return home because of a family illness. Thereafter his bit-part status congealed - he lost his spot in the T20 team and, after returning to the Test team during the Ashes as England dropped Nick Compton and moved Joe Root up the order, he was abruptly left out at The Oval. A squad member for the return tour of Australia, he played in the last two Tests, replacing the out-of-form Matt Prior, but did not unearth the performances to promote his worth as Prior's long-term successor and had to buckle down to the county circuit the following summer.That 2015 season promised to be the making of him as he struck 1108 first-class runs at 92.33, allowed by Yorkshire to play as he saw fit. Nothing was more emphatic than his 366-run alliance with Tim Bresnan at Chester-le-Street, both players making career-bests in Yorkshire's fifth-highest stand of all time. England were receptive. A combative 83 not out at Chester-le-Street after a late summons settled a weather-hit ODI against New Zealand in England's favour and the faltering form of Buttler brought a Test recall against Australia.It was Cape Town, though, where Bairstow really broke through, as the summer of 2016 testified. Bairstow's second Test ton was reserved for his home crowd against Sri Lanka: 140, batting at No. 7, out of 298. On a challenging surface, he played with a certainty not given to others. England's top order was repeatedly found wanting in Test cricket, but the belligerence of Bairstow and co down the order constantly dug them out of a hole, and another hundred at Lord's followed.His desire was relentless and his growing impact in ODIs was enough for him to return at the top of the order in the Champions Trophy semi-final - a defeat against Pakistan in Cardiff. West Indies felt his frustration at the end of the summer in the form of his first two ODI hundreds.But even as he became increasingly integral to England's white-ball fortunes, vagaries of selection hurt his Test chances. He scored an Ashes hundred on the 2017-18 tour and another in Christchurch a few months later, but pushed up the order to cover for deficiencies in others, his form dipped; he lost the gloves to Ben Foakes due to injury in Sri Lanka - though scored a bristling century when asked to bat as a specialist at No. 3 - and then saw the role handed to Buttler following a 2-2 draw in the 2019 Ashes.Back-to-back hundreds in crunch World Cup group games against New Zealand and India had been pivotal on England's route to the trophy, his opening partnership with Roy already among the most prolific in history. He enhanced his reputation further in the IPL, but in Tests he drifted to the periphery. Ed Smith, the national selector, suggested he needed to work on his red-ball game but rarely did he have the opportunity to do so; a comeback in 2021 only meeting with fitful success.ESPNcricinfo staffJonny Bairstow IPL factfile- Jonny Bairstow made his IPL debut for Sunrisers Hyderabad (SRH) in 2019, and quickly formed a destructive opening pair with David Warner. -  He and Warner had four century stands that year, the most by an opening pair in a single IPL edition. - Bairstow ended the season with 445 runs from ten games, at an average of 55.62 and a strike rate of 157.24. -  SRH released him ahead of the 2022 mega auction, where he was picked up by Punjab Kings. -  Bairstow's first season with Kings was lukewarm, as he scored only 253 runs in 11 games.-   He missed IPL 2023 with a leg injury."
Sam Curran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383153.png",Punjab Kings,Left hand Bat,Left arm Medium fast,Allrounder,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. Perhaps the only real conclusion to that debate is it does not matter. Curran has developed into an X-factor cricketer of global repute. He was player of the T20 World Cup in 2022, taking 13 wickets at 11.38, with an economy rate of 6.52, emerging as a canny death bowler to take England to glory. He signed off with a player of the match performance in the final against Pakistan, taking 3 for 12. Punjab Kings subsequently made him the most expensive buy at an IPL auction, outbidding five other teams to acquire his services for INR 18.50 crore (Â£1.85 million approximately). Back in 2018, the same franchise - Kings XI Pubjab, as they were known at the time - purchased him for INR 7.2 crore (Â£800,000 approximately). It was at the IPL, while playing for Chennai Super Kings, he showed his dexterity as a makeshift opening batter, having primarily been used as a hitter down the order. His absence from Test duties in 2022 was more through circumstance than design. A back injury ruled him out of the 2021/22 Ashes which took time to shake off. Now, however, both player and national team are aligned. As a leftie in both disciplines, his skillset is a rarity as far as English red ball bowling stocks are concerned, and his composure with bat in hand has never been questioned. Having fallen in the nineties twice in first class cricket, he finally made it to three figures in June 2022 with 126 against Kent. It was his 120th innings in the format. Curran has belied his slight frame from the moment he entered Surrey's 1st X1 in 2015, showing a natural ability to swing his left-armers at a decent lick and full of ambition at the crease. The combative nature of his cricket marked him down as a special cricketer in the making, winning attention from England Lions at the end of the 2016 season.Curran made an eye-catching Championship debut against Kent at The Oval when he took five wickets in the first innings, eight in all in the match, at only 17. Surrey research suggested he was the youngest-ever player to achieve a five-wicket haul in the Championship and the second youngest Surrey debutant. He opened the bowling with his brother, Tom, and took a wicket with his fifth ball when an inswinger bowled Joe Denly. At 17 years and 40 days old, his first-class debut came 69 years to the day after Tony Lock, the youngest player to play for Surrey at 17 years and eight days, made his first appearance - also against Kent - at the Oval on July 13, 1946. He showed an ability to swing the ball into the right-hander from the outset. That there was aggression, too, was evident even before his debut when he filled in for a Surrey T20 practice match and struck Gary Wilson on the helmet with one of the first balls he bowled. His laid-back personality was also evident when he was given a day off school by Wellington College, where he was taking A levels in PE, Art and Business Studies, to play in a Royal London Cup semi-final against Nottinghamshire at The Oval, where he first came to the attention of a wider audience with a composed, energetic display.Two successive runners-up medals in the Royal London Cup final, as Surrey lost Lord's finals against Gloucestershire and Warwickshire, were not a bad start for a player still only 18, but such is Curran's competitive nature, it is doubtful that he found much consolation in either of them. In a 2016 summer that brought so much to admire with bat and ball, there was a 96 against Lancashire - ended when a tame return catch to the offspinner Arron Lilley was followed by a disconsolate walk from the crease, in the words of ESPNcricinfo's reporter, as if he had just lost a game of Pokemon Go - and four wickets in seven ball against Durham on the way to the first six-for of his Championship career.
ESPNcricinfo staff"
Nathan Ellis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329711.png",Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,"Nathan Ellis has developed into one of Australia's leading T20 bowlers in a relatively short period of time. He is a short, skiddy quick with an excellent yorker and superb change of pace.In 2019 he was a club cricketer who had moved to Tasmania from New South Wales in search of opportunity and worked a variety of jobs including a landscape gardener, a labourer and a teacher's aide.He forced his way into the Tasmania set up and in 2020-21 enjoyed a breakout BBL campaign for Hobart Hurricanes. By the middle of 2021 he was on Australia duty and on his T20I debut against Bangladesh in Mirpur claimed a hat-trick. A few months later he picked up an IPL deal with Punjab Kings and was a reserve in Australia's 2021 T20 World Cup squad.He has rarely failed to impress in Australia's T20 side but the strength of their pace bowling has made it a struggle to string games together. Globally, he has enjoyed further IPL stints as well as T20 Blast and Hundred deals while remaining one of Hurricanes' key bowlers. In the 2023 calendar year he was the leading T20 wicket-taker in the world with 66, one ahead of Rashid Khan."
Jake Fraser-McGurk,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/299800/299893.1.jpg",Delhi Capitals,Right hand Bat,Legbreak Googly,Batter,"Jake Fraser-McGurk is one of the most explosive batting talents to develop in Australia since David Warner. He burst onto the scene in domestic cricket as a 17-year-old scoring half-centuries on both his first-class and List A debuts for Victoria in November 2019. He was part of Australia's Under-19 World Cup team in South Africa 2020 but had to return home mid-tournament after being scratched by a monkey at a nature reserve on a day off. His domestic career stalled with Victoria over the next three years where he failed to score another half-century in any format, including in the BBL for Melbourne Renegades. He was only offered a rookie contract for the 2023-24 season and opted to move to South Australia on a full contract.That move reignited his career. In October 2023, he broke AB de Villiers' world record for the fastest List A century, scoring a hundred off 29 balls against Tasmania in a Marsh Cup game at Karen Rolton Oval to beat the previous record by two deliveries. The following month he made his first Sheffield Shield century against his old side Victoria. That propelled him to his best BBL season with Renegades where he smashed three half-centuries batting at No.3 and led him to secure an ILT20 contract with Dubai Capitals where he made 54 off 25 balls in his first game. In February 2024, he made his ODI debut for Australia and smashed 41 off 18 balls in his second game against the West Indies in Canberra. He was picked up in the IPL by Delhi Capitals as a replacement player after coach Ricky Ponting suggested Fraser-McGurk could be the ""next David Warner"" and play all three formats for Australia. Fraser-McGurk repaid Ponting's backing with a stunning IPL season making four half-centuries including two off 15 balls and one off 19. His 84 off 27 against Mumbai Indians just days before Australia's T20 World Cup squad was selected created a groundswell of support for him to be added to the 15-man squad but he missed out."
Abishek Porel,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380667.1.png",Delhi Capitals,Left hand Bat,,Wicketkeeper Batter,
Shai Hope,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320122.png",Delhi Capitals,Right hand Bat,,Wicketkeeper Batter,"Shai Hope made his Test debut as a 21-year-old, having played just 14 first-class matches at the time. But few in the Caribbean doubted his talent as a batsman. Clive Lloyd gave him his West Indies cap, and coach Stuart Law insisted that he only needed one innings to get going. The world eventually got to know why the boy from Barbados was rated so highly when he became the first player, in 534 first-class matches, to score a hundred in each innings at Headingley.Hope was 23 at the time, the youngest member of the XI, leading West Indies to victory with scores of 147 and 118 not out. They had been faced with a target of 322 - not since Bradman's Invincibles rocketed to 404 for 3 in 1948 had a team chased that many on Yorkshire's storied turf, and won. Adding to the occasion was the fact West Indies had been dismantled only a week ago, England beating them by an innings and 209 runs to ensure their fans could savour the advent of day-night Test cricket in the country. Hope made his first-class debut in 2012-13, but propelled himself into consideration for the West Indies team after a superb season in 2014-15, when he scored 628 runs in nine matches - he was the fourth-highest run-getter in the tournament. He racked up 538 runs at 67.25 in 2015-16 - the highest average among the top-10 - and secured his maiden first-class double-hundred at his homeground, Kensington Oval, in March 2017ESPNcricinfo staff"
Rishabh Pant,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323036.png",Delhi Capitals,Left hand Bat,,Wicketkeeper Batter,"Rishabh Pant player profileA match-turning, swashbuckling batter-keeper in the Adam Gilchrist mould, Rishabh Pant has had a starring role in more than a handful of India's biggest Test matches in his first few years in the team.His first Test century came in his third match, on the 2018 tour of England, when he made 114 from No. 7 when up against a target of 464 that he made look almost gettable at points when he was at the crease. Early the following year he produced 159 off 189 balls in India's total of 622 in Sydney, which sealed their first series win in Australia. An encore followed early in 2021, when he made 97 off just 118 at the SCG, helping wrest a draw off Starc, Cummins, Lyon and Hazlewood when India were staring down the barrel. Pant's finest batting hour came in the classic that followed in Brisbane: an unbeaten 89 to steer a veritable India third XI home in a tall chase, and to their second series win down under in two visits. The whitewash of England at home that followed brought another two centuries for him, and in Cape Town at the start of 2022, he made an almost ludicrous 100 off 139 in an India total where the next highest score was 29. Later that year, he set India up with a breakneck 146 in the first innings of the postponed last Test of their tour of England from 2021 - only for England to outgun them in a berserker fourth-innings chase.In December 2022, Pant was seriously injured in a horrific car crash but he returned to the game 15 months later, in the 2024 IPL, leaner and more fit, his attacking fervour undiminished. It is a mark of Pant's no-fear, no-brakes batting that in his first four years in the game, he had as many scores between 90 and 100 in Tests as he did hundreds. It is the only way he has known: a year after making his Ranji Trophy debut at 18 in 2015, he scored a triple-hundred against Maharashtra, followed by two blistering centuries in a game against Jharkhand a month on - one of them ending in 135 off 67 balls.With Test stats like his, Pant's numbers in T20 - over 3000 runs in eight seasons for Delhi Capitals, at a strike rate of close to 150 - don't seem especially remarkable, but he has been a force for the Delhi side, their all-time top-scorer, and was appointed captain in 2021. He was bought at auction by the franchise the day he made a hundred in the 2016 Under-19 World Cup, which took India into the semi-finals of that tournament.Rishabh Pant IPL factfile - Rishabh Pant was bought by DC at the 2016 IPL auction, on the same day that he scored a century to seal India's place in the Under-19 World Cup semi-final, and he has remained with them ever since.- An attacking left-hand wicketkeeper-batter, Pant made a name for himself with his audacious stroke play and daredevil approach. His best season with the bat was in IPL 2018, when he scored 684 runs at a strike rate of 173.60.- In IPL 2019, Pant was DC's second highest run-scorer - 488 at a strike rate of 162.66 - as they qualified for the playoffs for the first time since 2012.- Pant was named DC's captain for IPL 2021, when Shreyas Iyer was injured, and had led the team to the top of the points table at the halfway stage before the season was disrupted by the Covid-19 pandemic. When the season resumed later in 2021, DC decided to continue with Pant as their captain.- Pant returned to play IPL 2024 after recovering from severe injuries he suffered in a life-threatening car accident in December 2022. He was named captain of Delhi Capitals again after his return, and, back to his best, made 446 runs in yet another middling season for the team."
Tristan Stubbs,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348577.png",Delhi Capitals,Right hand Bat,Right arm Offbreak,Batter,
Axar Patel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331164.png",Delhi Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"Axar Patel player profile Left-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58.Axar scored an IPL contract with Mumbai Indians ahead of the 2013 season but didn't get a game. He had a more impressive season the following year, after switching to Kings XI Punjab - 16 wickets at an economy rate of 6.22 - and was rewarded with a place in the Indian ODI squad for the tour to Bangladesh, though he only played one match.He made his T20 debut against Zimbabwe in 2015, but for the next three years found himself in and out of the limited-overs squads, stepping in more often than not in the absence of Ravindra Jadeja. His Test debut likewise came about when Jadeja was forced to sit out the 2021 England series with a broken thumb. Axar took five wickets on debut in the second Test in Chennai, and followed it up with an 11-wicket haul in the third: he finished the series with 27 wickets. In 2022, he made a 27-ball fifty, his first in ODIs, to seal a series win for India against West Indies.Axar Patel IPL factfile- Axar Patel was first signed by Mumbai Indians in IPL 2013 but did not get a game. He was then picked up for INR 75 lakh by Kings XI Punjab (now Punjab Kings) in the IPL 2014 auction.- Axar had an immediate impact picking 17 wickets in as many games in his debut season, the joint-sixth-most in IPL 2014. He had a big role in taking Kings to the final for the first and so far, only time in the IPL. - In IPL 2016, Axar claimed a hat-trick, taking four wickets in five balls in a match against the now-defunct Gujarat Lions. - Axar stayed with Kings for five seasons till IPL 2018 before being released ahead of the 2019 auction. - Axar was picked for INR 5 crore by Delhi Capitals in the IPL 2019 auction and has stayed with them since. He was one of four players retained by Capitals ahead of the IPL 2022 mega auction for INR 9 crore."
Gulbadin Naib,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383231.png",Delhi Capitals,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage.But Naib was dropped soon after, and had to deal with hardship in his personal life: his father was unemployed, his mother had hepatitis, and the family was struggling to deal with the needs of his disabled sister. Happily, Naib was able to force his way back into the national team in 2011 and settled into a floating role in Afghanistan's middle order, chipping in with both bat and ball. His maiden international fifty contributed to Afghanistan's first T20I series win over a Full Member, against Zimbabwe in October 2015. A few months later, he scored his first ODI fifty in a series win against the same opposition, to help Afghanistan break into the top ten in the ODI rankings. His biggest test came when he was promoted to captain the side for the 2019 World Cup; unfortunately Afghanistan failed to win a single game in the tournament."
Rasikh Salam,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/341000/341040.png",Delhi Capitals,Right hand Bat,Right arm Medium,Bowler,
Mukesh Kumar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373907.png",Delhi Capitals,Right hand Bat,Right arm Medium,Bowler,
Kuldeep Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319943.png",Delhi Capitals,Left hand Bat,Left arm Wrist spin,Bowler,"Kuldeep Yadav player profileKuldeep Yadav started as a fast bowler when he first joined a cricket academy in Kanpur, but was asked by his coach Kapil Pandey to switch to something much rarer - left-arm wristspin. The change wasn't smooth - Kuldeep admitted that he had even tried once - but he soon realised bowling left-arm wristspin was the way forward for him. And he was good at it too, having not only solid control over the length, but also a potent wrong'un among his variations.There haven't been too many bowlers of his ilk in India, and Kuldeep, therefore, attracted immediate attention after successful stints at the Under-19 level.Kuldeep played his first India U-19 game in April 2012 as a 17-year old and and despite consistently taking wickets, he stayed below the radar.  It was the 2014 edition of the U-19 World Cup in Dubai that pushed his stocks higher. After a wicketless spell in the opening game against Pakistan, Kuldeep picked up a hat-trick in the next game against Scotland. ""As Kuldeep, mere ko wicket nikaalna hai (As Kuldeep, I knew I had to take wickets),"" he said after the match.He gained in stature in the games that followed, repeatedly troubling batsmen with his turn and finished with 14 wickets, the joint second-highest in the tournament. The performance seemed to justify why Kolkata Knight Riders' scouts had forked out $66,000 for him in the IPL auction prior to the Under-19 World Cup.Kuldeep had been part of the Mumbai Indians set-up in the 2012 season where he had a fond memory of bamboozling Sachin Tendulkar once in the nets with his wrong'un. That did not translate into an IPL debut. Nor did it happen with Knight Riders in the 2014 season. He had to wait until the Champions League where, playing as a support bowler to Sunil Narine, he impressed with his economy. Following those performances, he was included in India's ODI squad for the series against West Indies in October 2014, and he made his first-class and List A debuts shortly after.Having established himself in the Uttar Pradesh and India A sides, Kuldeep made his Test debut against Australia in a deciding match in Dharamsala in March 2017 and claimed 4 for 68 in the first innings.ESPNcricinfo staffKuldeep Yadav IPL factfile- Kuldeep Yadav is the most successful left-arm wristspinner in the IPL. - He was first introduced by Kolkata Knight Riders (KKR) in 2016 in a continuation of their faith in left-arm wristspin, first starting alongside Brad Hogg and then replacing the veteran Australian.- His form fell away in the 2019 and 2020 seasons, and he missed IPL 2021 due to a knee injury before being let go by KKR.- In 2022, after six seasons with KKR, he was picked by Delhi Capitals (DC). The move seemed to work for him, 2022 being his most prolific IPL season: he took 21 wickets at a strike rate of 14.19, finishing in the tournament's top-five wicket-takers."
Khaleel Ahmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322268.png",Delhi Capitals,Right hand Bat,Left arm Fast medium,Bowler,"A left-arm medium pacer and opening bowler for India Under-19s, Khaleel Ahmed has been a dependable performer at the youth level. He came into the Under-19 World Cup in 2016 with 12 wickets in three innings, including 3 for 29 against Sri Lanka in the final of the Tri-Nation Under-19s tournament in Colombo. He couldn't quite extend that wicket-taking form into the World Cup, but was a regular presence in the side.Khaleel was bought by Delhi Daredevils for INR 10 lakh at the IPL auction in 2016, thereby extending his association with Rahul Dravid who served as India's Under-19 coach and is also the Daredevils' team mentor. ESPNcricinfo staff"
Quinton de Kock,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png",Lucknow Super Giants,Left hand Bat,,Wicketkeeper Batter,"Quinton de Kock player profileQuinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. De Kock grew up as a baseball player and even considered a move to the United States, but his father convinced him to pursue cricket instead. He attended King Edward VII High School, the alma mater of Graeme Smith and Neil McKenzie, and was picked for the South African U-19 side, which he captained briefly. He also topped the batting charts for South Africa in the 2012 junior World Cup in Australia.Later that year he caught the national selectors' eyes when he starred in a match-winning partnership with McKenzie in the Champions League T20 against Mumbai Indians. He also finished fourth in the first-class rankings in the 2012-13 season. After a bit of a false start to his international career - he didn't do much against New Zealand and Sri Lanka in 2012 and 2013 - he scored his first ODI hundred against Pakistan later that year. Then came the three in a row against India, followed by his Test debut early in 2014. An ankle injury threatened to put de Kock out of the 2015 World Cup, but he recovered quickly - if only to struggle through that tournament and a series against Bangladesh, after which he was dropped and spent some productive time in the A team. His first Test hundred came against England in Centurion in 2016, and he followed that up with one against Australia three matches later in Adelaide, in a series South Africa won 2-1. He also hit his stride in the shortest format, scoring his maiden half-century in the T20 World Cup that year, in which he was South Africa's most successful batter. Elsewhere in T20, he was a key part of the Mumbai Indians side that won two IPL titles on the trot at the tail end of the 2010s, opening their batting and keeping. In late 2021, de Kock announced a shock retirement from Tests, becoming another in a growing list of top all-format players seeking to concentrate on the white-ball formats.Quinton de Kock IPL factfile- Quinton de Kock made his IPL debut in 2013 for Sunrisers Hyderabad (SRH) but was only given three games. A quiet season followed in 2014 after he was bought by Delhi Capitals (then Delhi Daredevils).- In his second season with Delhi, he scored two half-centuries in three games and finally had his breakout season in 2016. He scored 445 runs, hitting his maiden century in the tournament as well.- After a disappointing season with Royal Challengers Bengaluru (RCB) in 2018, he was snapped up by Mumbai Indians (MI).- De Kock went past the 500-run mark both in 2019 and 2020, forming a dangerous opening partnership with Rohit Sharma to help Mumbai Indians win back-to-back titles.- New franchise Lucknow Super Giants (LSG) bought him at the IPL 2022 mega auction and he enjoyed a stellar season, scoring 508 runs as they made it to the playoffs.- He hammered a career-best unbeaten 140 not out off 70 against Kolkata Knight Riders (KKR) in IPL 2022, as he and KL Rahul put on an unbroken 210 to break the record for the biggest opening partnership in the tournament's history."
Yudhvir Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314700/314789.jpg",Lucknow Super Giants,Right hand Bat,Right arm Medium fast,Bowler,
Ishant Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316602.png",Delhi Capitals,Right hand Bat,Right arm Fast medium,Bowler,"With a physique reminiscent of a young Javagal Srinath, tall and wiry Ishant Sharma shot into prominence during the 2007-08 Test series in Australia, where he moved the ball both ways at pace and delivered a searching spell to Ricky Ponting in Perth that became the stuff of cricket lore. For one who started playing serious cricket at 14, Ishant's rise was rapid and he made his Ranji Trophy debut at 18, followed by his first Test on India's tour of Bangladesh in May 2007, but it was in Australia that he made people sit up. He impressed also in the one-day CB Series there that season, which India won and in which he was their highest wicket-taker.He then took 15 wickets in the succesful home series against Australia in 2008, seven of them in the first Test, in Bangalore, and quickly became Zaheer Khan's deputy in India's fast-bowling line-up. Then, mystifyingly, over the two-odd seasons that followed, Ishant lost his pace, and without it, his short-of-a-good-length deliveries lost their venom. India's selectors gave him a long rope, through and after ankle surgery in 2012, which put him out of action for months, but 70 Tests into his career, Ishant averaged an unfortunate 37 with the ball.He did turn things around, though - almost miraculously, to the point where he averaged 23.4 in his last 34 Tests. He took nine wickets against New Zealand in Auckland in 2014, and followed it up with 7 for 74 in an India win at Lord's. He missed the ODI World Cup of 2015 with a knee injury and his white-ball career ended in Australia the following year, but his second coming in Tests proceeded at a nice clip. Eighteen wickets in the series in England in 2018 were followed by 11 in the first three Tests in Australia, of which India won two to pick up a historic first series win in that country. Ishant filled his boots against West Indies and Bangladesh in 2019, and was in the thick of things when England came to India in 2021, taking 15 wickets in the 3-1 win.In the IPL, he turned out for Kolkata Knight Riders in the first three seasons of the league before moving to Deccan Chargers and their successor team, Sunrisers Hyderabad. Though each of those sides won the IPL at least once in the first decade of the competition, Ishant wasn't in the team when they did. He bedded in for a longish stint with Delhi Capitals starting in 2019."
